0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 4.25, 2.12, 4.62, 0.88, 4.00, 1.88, 3.75, 0.38, 4.00, 2.00, 4.38, 1.00, 5.12, 2.38, 4.88, 0.00
0.00, 2.12, 4.25, 3.00, 1.75, 2.75, 3.75, 2.25, 0.75, 2.38, 4.00, 3.00, 2.00, 3.38, 4.75, 2.38, 0.00
0.00, 4.38, 2.12, 4.25, 2.62, 3.88, 3.12, 4.12, 1.12, 4.12, 2.00, 4.00, 3.00, 5.00, 3.38, 5.12, 0.00
0.00, 0.88, 1.75, 2.62, 3.50, 3.00, 2.50, 2.00, 1.50, 2.12, 2.75, 3.38, 4.00, 3.00, 2.00, 1.00, 0.00
0.00, 4.25, 2.88, 4.00, 2.62, 4.38, 3.38, 4.50, 1.88, 4.50, 3.50, 4.25, 3.38, 4.12, 3.00, 4.25, 0.00
0.00, 2.00, 4.00, 2.88, 1.75, 3.00, 4.25, 3.25, 2.25, 3.25, 4.25, 3.50, 2.75, 3.38, 4.00, 2.00, 0.00
0.00, 4.12, 2.00, 4.38, 0.88, 4.50, 2.88, 4.25, 2.62, 4.38, 3.25, 4.62, 2.12, 4.25, 2.38, 4.00, 0.00
0.00, 0.38, 0.75, 1.12, 1.50, 1.88, 2.25, 2.62, 3.00, 2.62, 2.25, 1.88, 1.50, 1.12, 0.75, 0.38, 0.00
0.00, 4.00, 2.38, 4.38, 2.12, 5.12, 3.50, 4.88, 2.62, 3.75, 3.00, 4.12, 1.88, 3.50, 2.00, 3.25, 0.00
0.00, 2.00, 4.00, 3.38, 2.75, 3.75, 4.75, 3.50, 2.25, 3.00, 3.75, 3.00, 2.25, 2.75, 3.25, 1.62, 0.00
0.00, 4.12, 2.00, 4.00, 3.38, 5.00, 3.75, 5.12, 1.88, 3.88, 1.88, 3.75, 2.62, 3.38, 2.38, 3.62, 0.00
0.00, 1.00, 2.00, 3.00, 4.00, 3.38, 2.75, 2.12, 1.50, 1.88, 2.25, 2.62, 3.00, 2.25, 1.50, 0.75, 0.00
0.00, 4.50, 3.12, 4.25, 3.00, 4.12, 3.38, 4.25, 1.12, 3.75, 2.88, 3.50, 2.25, 3.88, 2.62, 4.00, 0.00
0.00, 2.12, 4.25, 3.12, 2.00, 3.00, 4.00, 2.38, 0.75, 2.12, 3.50, 2.50, 1.50, 2.62, 3.75, 1.88, 0.00
0.00, 4.38, 2.12, 4.62, 1.00, 4.25, 2.00, 4.00, 0.38, 3.62, 1.75, 3.88, 0.75, 4.00, 1.88, 3.75, 0.00
0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
