0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 3.62, 1.62, 3.38, 0.75, 3.50, 1.75, 3.88, 0.25, 2.75, 1.38, 3.12, 0.50, 2.50, 1.12, 2.25, 0.00
0.00, 1.62, 3.25, 2.38, 1.50, 2.50, 3.50, 2.00, 0.50, 1.62, 2.75, 1.88, 1.00, 1.62, 2.25, 1.12, 0.00
0.00, 3.50, 1.62, 3.62, 2.25, 3.62, 2.75, 3.50, 0.75, 2.88, 1.38, 2.75, 1.50, 2.38, 1.62, 2.62, 0.00
0.00, 0.75, 1.50, 2.25, 3.00, 2.50, 2.00, 1.50, 1.00, 1.25, 1.50, 1.75, 2.00, 1.50, 1.00, 0.50, 0.00
0.00, 3.50, 2.50, 3.88, 2.25, 3.38, 2.50, 3.12, 1.25, 2.75, 2.00, 2.50, 1.75, 2.88, 1.88, 3.00, 0.00
0.00, 1.75, 3.50, 2.50, 1.50, 2.25, 3.00, 2.25, 1.50, 2.00, 2.50, 2.00, 1.50, 2.12, 2.75, 1.38, 0.00
0.00, 3.62, 1.75, 3.50, 0.75, 3.25, 2.00, 3.38, 1.75, 2.62, 2.00, 2.88, 1.25, 3.00, 1.62, 2.75, 0.00
0.00, 0.25, 0.50, 0.75, 1.00, 1.25, 1.50, 1.75, 2.00, 1.75, 1.50, 1.25, 1.00, 0.75, 0.50, 0.25, 0.00
0.00, 3.12, 1.75, 3.25, 1.38, 2.88, 2.00, 2.62, 1.75, 4.12, 2.62, 3.88, 1.62, 4.00, 2.25, 4.38, 0.00
0.00, 1.50, 3.00, 2.38, 1.75, 2.12, 2.50, 2.00, 1.50, 2.62, 3.75, 3.00, 2.25, 3.12, 4.00, 2.00, 0.00
0.00, 3.25, 1.50, 3.00, 2.12, 2.75, 2.12, 2.88, 1.25, 4.00, 1.88, 4.12, 2.88, 4.12, 2.88, 4.00, 0.00
0.00, 0.62, 1.25, 1.88, 2.50, 2.12, 1.75, 1.38, 1.00, 1.62, 2.25, 2.88, 3.50, 2.62, 1.75, 0.88, 0.00
0.00, 3.00, 2.00, 2.75, 1.88, 3.38, 2.50, 3.50, 0.75, 4.00, 3.12, 4.38, 2.62, 3.88, 2.62, 3.62, 0.00
0.00, 1.38, 2.75, 2.00, 1.25, 2.25, 3.25, 1.88, 0.50, 2.25, 4.00, 2.88, 1.75, 2.62, 3.50, 1.75, 0.00
0.00, 2.88, 1.38, 3.12, 0.62, 3.50, 1.62, 3.25, 0.25, 4.12, 2.00, 4.00, 0.88, 3.75, 1.75, 3.88, 0.00
0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
